,Open,High,Low,Close,Adj Close,PriceChange,SMA_5,SMA_20,BollingerUpper,BollingerLower
927,-0.0532595581941402,-0.05254799529268761,-0.05410482495243485,-0.05932234993992001,-0.05932234993992001,-0.25839279777523183,-0.05341001391335394,-0.0484677926616032,-0.07338977419126082,-0.022119602607621122
928,-0.05938647862366861,-0.06040878782105715,-0.059792402167360016,-0.058096957142297755,-0.058096957142297755,0.0528174638815403,-0.0522150792425156,-0.04951772162215183,-0.0746947493989276,-0.02289700744781265
929,-0.057931527846457415,-0.059645789500327735,-0.05541149709002189,-0.060547742737542265,-0.060547742737542265,-0.10279261354476764,-0.05637684983325347,-0.050774574900585054,-0.07647144341129943,-0.023602991665127852
930,-0.060152402109117785,-0.06712484996286226,-0.05810153886815611,-0.06299852833278678,-0.06299852833278678,-0.10279261354476764,-0.058858633630224304,-0.051357026803674946,-0.07626823130399077,-0.025005087131266937
931,-0.07929932061018467,-0.07277234180689368,-0.07946777444049347,-0.07004424476939189,-0.07004424476939189,-0.2972928438328479,-0.06222893941237763,-0.052269014014929165,-0.07547625216239995,-0.02769656408076736
932,-0.06980252382630589,-0.07033032795071299,-0.07485630775639747,-0.07854533426546557,-0.07854533426546557,-0.358897774351865,-0.06607419888290053,-0.054058503000115096,-0.0747555131225648,-0.03210521901414505
933,-0.0785333971247355,-0.07323046686698977,-0.07424155498802273,-0.070963230937664,-0.070963230937664,0.3218926044397909,-0.06864789713516552,-0.055468628786855656,-0.07559951642400731,-0.03410079801043166
934,-0.07102795465761808,-0.07658826503242201,-0.0703987051760992,-0.06966141177253793,-0.06966141177253793,0.05605253892244581,-0.07047094508518925,-0.056917075624159236,-0.0772295985767643,-0.035351516123280365
935,-0.06964943262002905,-0.07261978872384187,-0.0703987051760992,-0.06621497992173919,-0.06621497992173919,0.14683250398467493,-0.07111434627224966,-0.058197679300423376,-0.07936725859961581,-0.035728026277861695
936,-0.06627955626567868,-0.06880386549831354,-0.06255914144845438,-0.06276878179071875,-0.06276878179071875,0.1468226107888312,-0.06965900289541511,-0.05947369895110916,-0.08265579352829525,-0.034890086969742246
937,-0.06275635497801899,-0.06727763595138439,-0.06186745662818079,-0.06514290729868116,-0.06514290729868116,-0.09954764530801839,-0.06697805552796927,-0.060742047375316556,-0.08582589860999747,-0.034160492494587226
938,-0.0681175856491307,-0.055829866274799404,-0.06732423768740939,-0.05380679689183921,-0.05380679689183921,0.4807971160820668,-0.06354617734621171,-0.05992195116660133,-0.08534098899555695,-0.032993687437072296
939,-0.05341264940041704,-0.04835057290679458,-0.04641912532858776,-0.04178425149613277,-0.04178425149613277,0.5098534322751539,-0.05796978438095879,-0.0589831380505587,-0.08283235653134798,-0.03370352853669637
940,-0.04161831588722323,-0.045679380067830684,-0.042576275516664215,-0.04791121548424405,-0.04791121548424405,-0.2584026909710756,-0.054308400573036306,-0.05871873800380195,-0.0821475838732016,-0.03388067947366187
941,-0.04789832752302848,-0.04957169628762008,-0.04226901640694621,-0.045843262885853484,-0.045843262885853484,0.08848243489825085,-0.05092271337898506,-0.05882602992901173,-0.08254527431897793,-0.03368333473551616
942,-0.04575388199999029,-0.05186115706074895,-0.047341606304557936,-0.050515087534274486,-0.050515087534274486,-0.19680765364790226,-0.04799664521341715,-0.05870340724478815,-0.08225853868427987,-0.03373319396788011
943,-0.050349189185652836,-0.05315867343583552,-0.04611186621886975,-0.04745172240010799,-0.04745172240010799,0.1306175559967724,-0.046725411259242254,-0.05787189774789828,-0.08105745110692755,-0.033292999130880366
944,-0.04743882017716547,-0.045297880907465976,-0.04103927632125803,-0.03849113981989825,-0.03849113981989825,0.380242673526215,-0.046066675412295595,-0.05780928837813527,-0.08077294812770598,-0.033463061934660546
945,-0.04192449829977691,-0.04453464968126625,-0.05256782575702866,-0.05717797097402564,-0.05717797097402564,-0.7900531424182345,-0.047920345930080155,-0.05813882368630004,-0.08134562419455252,-0.033536288060808356
946,-0.05747178677356192,-0.06086667997568293,-0.05687179878246793,-0.05442101246920928,-0.05442101246920928,0.11764757624561914,-0.049636191516935595,-0.05820013502841183,-0.08145573520777076,-0.033546181881494004
947,-0.05425523535252087,-0.0521664961323229,-0.0501083455856523,-0.05089792053112843,-0.05089792053112843,0.15007747222142417,-0.0497127713123435,-0.0577786268601081,-0.08082041939718064,-0.03335074656667752
948,-0.050808696531515846,-0.054303403822399954,-0.04641912532858776,-0.04860045511044814,-0.04860045511044814,0.09819755321681112,-0.04994255745057933,-0.05730347857617098,-0.07998935186064572,-0.03325075633716665
949,-0.04866425100847765,-0.05598241935785123,-0.050261975140511304,-0.05702488451923972,-0.05702488451923972,-0.35565280611511574,-0.053649945238161,-0.05712721577631399,-0.0798734508232636,-0.033012205500432365
950,-0.05678252575476741,-0.06086667997568293,-0.0611757718079072,-0.06851267906219778,-0.06851267906219778,-0.48532292403911714,-0.055917277556781816,-0.05740311096884535,-0.07969920907019509,-0.033758006661037364
951,-0.0685770929949937,-0.06590372658203676,-0.06240551189359538,-0.06223262861930058,-0.06223262861930058,0.26677761039427234,-0.057479870048797656,-0.05701226431856879,-0.07998158285585925,-0.03266425988600264
952,-0.07868672205804482,-0.06636161873666253,-0.07347293811585029,-0.0631516147875727,-0.0631516147875727,-0.03795260798484506,-0.059931031278007224,-0.05624205446984774,-0.08145297570722593,-0.029550859696236186
953,-0.06321586232388199,-0.06192150885070843,-0.06340469037252569,-0.06958475168525582,-0.06958475168525582,-0.2713627775263851,-0.06412861390982139,-0.05617308359520053,-0.08159539395542215,-0.02926090065750784
954,-0.06949610768671972,-0.07689360410399597,-0.08338743902984651,-0.0901096720358166,-0.0901096720358166,-0.8678581811313886,-0.07074671182707844,-0.05719619249793268,-0.07801444657368367,-0.03509962592671094
955,-0.09009821069203051,-0.09009678231029329,-0.08415605590201918,-0.08635695041555687,-0.08635695041555687,0.15979753713790631,-0.07431618117970633,-0.058203976488622515,-0.07593920640146976,-0.03933042244216227
956,-0.08634548945847158,-0.07948840394869879,-0.08254200738024456,-0.0732609300781226,-0.0732609300781226,0.5552928807854872,-0.07652222161079425,-0.05872894096889683,-0.07568708865357278,-0.04066634357973339
957,-0.07301907524734694,-0.07842006655639541,-0.07762328158643055,-0.07892816726231952,-0.07892816726231952,-0.2389427747464238,-0.079678075914598,-0.05941867310325353,-0.07505215593028462,-0.0427395526698112
